-91,-107,-132,-197,-54,-170,-223,173,473,-666,11,-573,-461,4786,393,94,-333,67,-42,334,279,482,1043,1020,350,570,600,162,391,665,797,637,1144,838,1075,733,162,-732,-608,55,30,481,579,808,1064,4030,2618,583,662
-410,-408,-440,-403,-418,-306,-228,-586,-1291,-1129,-92,101,-456,-761,-100,-10,302,406,57,-177,232,183,228,127,166,-242,-185,-214,-157,-118,-91,-260,-214,-283,-598,-71,191,236,436,317,-39,-333,-827,-555,-1481,-1738,-1353,-2472,-2379
4090,4102,4201,4364,4732,5234,5973,7105,7931,7743,5526,4387,3432,2519,2197,1720,1985,2055,2679,3079,2624,3042,3435,4105,4701,5305,4749,4703,3888,3266,3032,3210,3339,3788,4344,3520,2782,2233,1611,1797,1925,2422,2672,2964,3996,3908,4773,8464,10335
30,30,62,31,84,192,114,168,208,653,557,-146,168,-51,38,-58,-96,-162,-515,-383,112,-129,-30,-56,-218,103,65,-70,227,35,-145,-59,-191,-167,69,222,157,-31,-107,-665,-984,-946,-819,-425,-266,1280,174,882,1292
-61,-56,161,27,82,40,156,468,164,-582,-765,-1412,-1018,-888,-383,-241,-68,78,-162,-45,336,67,79,267,74,8,40,-111,-160,-352,-312,-26,-16,29,169,112,104,-84,-500,-722,-910,-469,-190,-515,59,1114,2054,2583,3298
78,-25,66,-41,38,93,-148,197,434,392,370,-537,-422,-365,-112,-241,-60,-507,-745,-499,119,-157,-221,-265,-173,111,72,-114,128,-8,68,45,-166,-121,22,-19,78,139,83,-156,-75,348,700,160,1526,2271,957,1426,1009
