-18,-12,-25,-9,-28,-11,-21,-15,-10,-18,-13,-18,-17,-21,-22,-9,-18,-22,-23,-21,-13,-18,-16,-16,-17,-23,-16,-27,-15,-14,-1,-27,-17,-20,-26,-20,-8,-19,-28,-18,-16,-18,-29,-4,-13,-14,-28,-24,-15,-23,-11,-10,-23,-5,-17,-23,-14,-23,-13,-18,-6,-19,-18,-19,-22,-20,-11,-20,-20,-11,-20,-17,-24,-8,-14,-11,-10,-12,-14,-25,-15,-18,-11,-23,-25,-9,-13,-12,-7,-15,-25,-10,-18,-17,-10,-18,-22,-20,-13
-46,-31,-30,-31,-30,-25,-43,-27,-26,-43,-29,-41,-39,-26,-33,-30,-39,-20,-28,-38,-42,-28,-29,-30,-23,-33,-35,-30,-26,-27,-37,-33,-30,-27,-27,-34,-40,-31,-22,-40,-24,-38,-21,-43,-28,-25,-30,-24,-24,-34,-23,-43,-33,-29,-43,-27,-31,-31,-29,-35,-26,-41,-39,-17,-28,-27,-39,-29,-32,-33,-25,-33,-41,-24,-20,-40,-32,-31,-34,-24,-37,-26,-49,-18,-20,-38,-29,-37,-35,-37,-31,-22,-45,-18,-34,-29,-14,-50,-28
4263,4268,4262,4268,4278,4272,4265,4274,4263,4272,4274,4272,4263,4292,4276,4257,4265,4276,4270,4258,4267,4269,4256,4260,4268,4273,4271,4273,4265,4261,4272,4264,4261,4267,4264,4280,4269,4270,4262,4265,4269,4263,4270,4265,4249,4267,4262,4270,4259,4279,4276,4258,4273,4277,4270,4285,4266,4256,4276,4249,4263,4270,4277,4278,4265,4268,4266,4264,4275,4272,4273,4260,4260,4260,4274,4271,4271,4266,4266,4265,4266,4266,4261,4280,4269,4265,4268,4275,4273,4273,4282,4280,4265,4263,4267,4276,4268,4274,4273
15,3,18,17,14,6,6,4,30,2,11,22,4,-5,4,9,15,6,14,23,20,10,22,-2,34,4,23,4,6,-3,23,-2,11,9,18,18,25,22,7,12,11,21,9,12,9,10,14,12,21,6,15,-7,17,3,4,-9,-1,7,14,30,15,-1,25,-4,17,2,-7,1,10,20,4,20,4,29,9,20,15,-4,-7,22,1,-11,9,14,-13,18,14,20,-12,7,17,22,15,6,7,3,9,17,11
1,18,10,16,8,-24,21,0,14,5,-5,17,-11,2,-10,7,-3,-13,-13,8,-14,13,-13,13,-5,2,-21,2,2,-15,19,-5,13,-8,3,-1,-5,-14,-40,5,-10,-3,-11,-8,-11,5,0,-3,19,-10,5,1,13,30,-23,-3,3,1,11,-5,-23,8,14,-18,-10,-10,2,22,-21,-24,-24,-16,-17,26,-23,-5,-5,0,-5,-33,-2,-14,19,3,40,8,-13,18,6,1,-13,-8,21,-14,11,-8,8,-3,1
-3,-13,-12,-8,-11,-7,-17,-5,-6,-12,-7,-16,6,-19,-10,-8,-5,1,-5,-8,-8,-14,-8,-6,-22,1,2,-5,3,9,-6,-6,-3,-21,4,-10,-8,-13,-11,-11,-3,-21,-10,-2,-6,-11,-2,-8,4,-13,-22,-7,-13,2,-3,-3,-11,-17,-2,-16,-11,-13,-21,-22,-19,0,-22,-11,-9,-13,-3,-2,0,-14,-6,-5,-28,2,6,-17,-8,-13,-21,-14,-6,-2,-8,-9,-8,0,-20,-24,-14,-3,-13,-13,-14,-9,-6
